Dataset,leaf_size,N_neighbors,p,Accuracy
Breast_Cancer,50,25,3,0.915495706
Breast_Cancer,30,25,3,0.915495706
Breast_Cancer,40,25,3,0.915495706
Breast_Cancer,50,25,7,0.915495706
Breast_Cancer,30,25,7,0.915495706
Breast_Cancer,40,25,7,0.915495706
Breast_Cancer,30,25,5,0.913114754
Breast_Cancer,40,25,5,0.913114754
Breast_Cancer,50,25,5,0.913114754
Breast_Cancer,30,15,3,0.910772834
Breast_Cancer,50,15,3,0.910772834
Breast_Cancer,40,15,3,0.910772834
Breast_Cancer,50,15,7,0.908430913
Breast_Cancer,50,15,5,0.908430913
Breast_Cancer,40,15,5,0.908430913
Breast_Cancer,30,15,7,0.908430913
Breast_Cancer,30,15,5,0.908430913
Breast_Cancer,40,15,7,0.908430913
Breast_Cancer,40,7,7,0.908352849
Breast_Cancer,40,7,5,0.908352849
Breast_Cancer,40,7,3,0.908352849
Breast_Cancer,50,7,3,0.908352849
Breast_Cancer,50,7,5,0.908352849
Breast_Cancer,50,7,7,0.908352849
Breast_Cancer,30,7,7,0.908352849
Breast_Cancer,30,7,5,0.908352849
Breast_Cancer,30,7,3,0.908352849
Seed,30,7,3,0.904571843
Seed,30,7,5,0.904571843
Seed,30,7,7,0.904571843
Seed,50,7,7,0.904571843
Seed,50,7,5,0.904571843
Seed,50,7,3,0.904571843
Seed,40,7,3,0.904571843
Seed,40,7,5,0.904571843
Seed,40,7,7,0.904571843
Seed,50,25,3,0.898282535
Seed,40,25,7,0.898282535
Seed,40,25,5,0.898282535
Seed,40,25,3,0.898282535
Seed,50,25,7,0.898282535
Seed,30,25,7,0.898282535
Seed,30,25,5,0.898282535
Seed,30,25,3,0.898282535
Seed,50,25,5,0.898282535
Seed,40,15,7,0.885462022
Seed,30,15,7,0.885462022
Seed,30,15,5,0.885462022
Seed,50,15,5,0.885462022
Seed,50,15,7,0.885462022
Seed,40,15,5,0.885462022
Seed,40,15,3,0.872641509
Seed,50,15,3,0.872641509
Seed,30,15,3,0.872641509
Seed,30,7,5,0.917540323
Seed,50,7,5,0.917540323
Seed,40,7,5,0.917540323
Seed,30,7,7,0.91733871
Seed,50,7,7,0.91733871
Seed,40,7,7,0.91733871
Seed,30,7,3,0.911290323
Seed,50,7,3,0.911290323
Seed,40,7,3,0.911290323
Seed,30,25,5,0.90483871
Seed,50,25,5,0.90483871
Seed,40,25,5,0.90483871
