Criterion,Max_depth,N_estimators,Accuracy,
gini,9,160,0.808580858,Low
log_loss,9,160,0.808580858,Low
entropy,9,190,0.808580858,Low
entropy,9,130,0.805280528,Low
entropy,3,190,0.83236715,Medium
entropy,3,130,0.828115942,Low
log_loss,3,130,0.828019324,Low
entropy,6,130,0.827922705,Low
entropy,6,190,0.823478261,Low
log_loss,3,190,0.819323671,Low
log_loss,9,190,0.819227053,Low
log_loss,6,130,0.819227053,Low
gini,9,160,0.819227053,Low
gini,3,190,0.819130435,Low
log_loss,3,160,0.819130435,Low
entropy,3,160,0.819130435,Low
log_loss,9,160,0.814975845,Low
entropy,6,160,0.81468599,Low
entropy,9,190,0.810434783,Low
entropy,9,160,0.810338164,Low
gini,3,130,0.810338164,Low
log_loss,6,190,0.810241546,Low
gini,3,160,0.806086957,Low
gini,9,190,0.805990338,Low
entropy,9,130,0.805990338,Low
log_loss,6,160,0.801642512,Low
gini,6,130,0.801545894,Low
gini,6,190,0.797101449,Low
gini,9,130,0.79294686,Low
log_loss,9,130,0.788502415,Low
gini,6,160,0.783961353,Low
gini,9,190,0.848233162,Medium
gini,3,130,0.844986409,Medium
log_loss,6,130,0.844986409,Medium
log_loss,3,190,0.844910903,Medium
gini,3,160,0.841739656,Medium
log_loss,3,160,0.841739656,Medium
entropy,3,130,0.841588644,Medium
entropy,9,130,0.841588644,Medium
gini,3,190,0.838492902,Medium
entropy,3,190,0.838417397,Medium
entropy,6,190,0.838341891,Medium
entropy,9,160,0.838190879,Medium
entropy,3,160,0.835170643,Medium
gini,6,160,0.835095137,Medium
log_loss,3,130,0.835095137,Medium
entropy,6,160,0.835019632,Medium
gini,6,190,0.83486862,Medium
gini,6,130,0.83486862,Medium
log_loss,6,160,0.831772878,Medium
entropy,6,130,0.828601631,Low
entropy,9,190,0.828450619,Low
log_loss,9,190,0.828299607,Low
gini,9,130,0.82512836,Low
log_loss,9,160,0.825052854,Low
gini,9,160,0.821881607,Low
log_loss,6,190,0.821881607,Low
log_loss,9,130,0.821806101,Low
